epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3120.76,1.61685,1.09116,0.89484,0.42624,0.31243,0.28843,0.15759,1.57026,1.0967,0.90641,0.000742625,0.000742625,0.000742625
43,3194.21,1.60846,1.09466,0.89923,0.4568,0.28528,0.27116,0.14764,1.60136,1.11615,0.90436,0.00073025,0.00073025,0.00073025
44,3267.57,1.58784,1.07225,0.89828,0.42698,0.31712,0.29229,0.15824,1.56458,1.11076,0.9064,0.000717875,0.000717875,0.000717875
45,3341.47,1.6048,1.07111,0.89682,0.44956,0.30999,0.29286,0.1594,1.56153,1.09527,0.9053,0.0007055,0.0007055,0.0007055
46,3416.39,1.60586,1.08468,0.90109,0.45251,0.30122,0.29296,0.1589,1.55732,1.08676,0.90426,0.000693125,0.000693125,0.000693125
47,3489.96,1.59871,1.07304,0.89814,0.44281,0.31533,0.3004,0.16396,1.55848,1.07336,0.90178,0.00068075,0.00068075,0.00068075
48,3563.49,1.64473,1.0853,0.89521,0.44622,0.30859,0.2881,0.15498,1.56752,1.10565,0.9013,0.000668375,0.000668375,0.000668375
49,3636.94,1.58721,1.06218,0.8931,0.43982,0.30697,0.28631,0.15728,1.56139,1.08954,0.90144,0.000656,0.000656,0.000656
50,3712.11,1.58567,1.05854,0.89415,0.45503,0.30796,0.29679,0.16253,1.55239,1.08683,0.89893,0.000643625,0.000643625,0.000643625
51,3785.96,1.59546,1.06438,0.89061,0.45549,0.32625,0.30256,0.16643,1.53911,1.0681,0.90104,0.00063125,0.00063125,0.00063125
52,3859.68,1.5774,1.04842,0.89108,0.44308,0.31958,0.29815,0.16341,1.53463,1.08529,0.8991,0.000618875,0.000618875,0.000618875
53,3932.76,1.57904,1.0535,0.89005,0.4138,0.32442,0.29589,0.16054,1.55131,1.0691,0.9005,0.0006065,0.0006065,0.0006065
54,4006.71,1.57707,1.04535,0.89155,0.44237,0.32182,0.29934,0.16264,1.53838,1.07938,0.89744,0.000594125,0.000594125,0.000594125
55,4080.86,1.58726,1.04696,0.89012,0.44576,0.32936,0.30421,0.16574,1.5313,1.06203,0.89363,0.00058175,0.00058175,0.00058175
56,4154.58,1.55906,1.02972,0.89026,0.42946,0.30433,0.28184,0.15273,1.5713,1.09721,0.90324,0.000569375,0.000569375,0.000569375
57,4228.07,1.58422,1.03801,0.89007,0.44728,0.32233,0.30039,0.16313,1.53499,1.07002,0.89954,0.000557,0.000557,0.000557
58,4301.52,1.57073,1.01998,0.8874,0.4535,0.32662,0.30576,0.16769,1.53684,1.06074,0.89796,0.000544625,0.000544625,0.000544625
59,4375.15,1.56452,1.02177,0.88828,0.45348,0.32427,0.30936,0.16596,1.53729,1.0664,0.89738,0.00053225,0.00053225,0.00053225
60,4448.52,1.55165,1.01749,0.88531,0.43973,0.33143,0.30382,0.165,1.52903,1.05732,0.89515,0.000519875,0.000519875,0.000519875
61,4522.24,1.52972,1.00526,0.88645,0.45898,0.31981,0.29521,0.15967,1.54802,1.08108,0.89869,0.0005075,0.0005075,0.0005075
62,4595.46,1.54382,1.01142,0.88627,0.43672,0.32148,0.29974,0.16456,1.53589,1.06255,0.89682,0.000495125,0.000495125,0.000495125
63,4670.71,1.54879,0.99923,0.88156,0.44066,0.3305,0.30376,0.16682,1.52757,1.05839,0.89746,0.00048275,0.00048275,0.00048275
64,4744.08,1.53106,1.00051,0.88242,0.45504,0.32361,0.29858,0.16255,1.53451,1.06757,0.89734,0.000470375,0.000470375,0.000470375
65,4817.37,1.54373,1.01396,0.88706,0.47867,0.31683,0.30818,0.16769,1.52957,1.046,0.89491,0.000458,0.000458,0.000458
66,4890.87,1.55435,1.00336,0.886,0.44425,0.33232,0.30452,0.16673,1.53169,1.05948,0.89826,0.000445625,0.000445625,0.000445625
67,4964.32,1.54285,1.00301,0.88566,0.46933,0.32726,0.30978,0.16962,1.51815,1.05407,0.89365,0.00043325,0.00043325,0.00043325
68,5037.95,1.53668,1.00087,0.88604,0.45697,0.32044,0.30092,0.16502,1.53828,1.06758,0.89563,0.000420875,0.000420875,0.000420875
69,5111.76,1.51807,0.9805,0.88309,0.46738,0.32457,0.30862,0.16906,1.53215,1.05822,0.89423,0.0004085,0.0004085,0.0004085
70,5184.9,1.52492,0.98549,0.88141,0.46823,0.32373,0.30974,0.16899,1.52203,1.0498,0.89399,0.000396125,0.000396125,0.000396125
71,5258.9,1.53508,0.98499,0.87974,0.47743,0.32832,0.31688,0.17401,1.51781,1.04312,0.89398,0.00038375,0.00038375,0.00038375
72,5332.77,1.51463,0.97156,0.87793,0.44765,0.33609,0.31432,0.17264,1.52309,1.05438,0.89506,0.000371375,0.000371375,0.000371375
73,5406.56,1.53449,0.99418,0.88114,0.4494,0.32988,0.30688,0.17085,1.52955,1.04835,0.89674,0.000359,0.000359,0.000359
74,5479.89,1.51419,0.97265,0.8781,0.47666,0.3334,0.31768,0.17537,1.51534,1.03977,0.89342,0.000346625,0.000346625,0.000346625
75,5554.37,1.52129,0.97193,0.88033,0.4611,0.32775,0.30784,0.1694,1.52365,1.04998,0.89313,0.00033425,0.00033425,0.00033425
76,5633.09,1.50084,0.96311,0.87832,0.45342,0.33238,0.3129,0.17157,1.51898,1.04247,0.89504,0.000321875,0.000321875,0.000321875
77,5706.74,1.51254,0.97584,0.87756,0.47101,0.32753,0.30985,0.17217,1.51852,1.04983,0.89256,0.0003095,0.0003095,0.0003095
78,5780.48,1.52094,0.96819,0.88302,0.4613,0.33328,0.31362,0.17211,1.515,1.03883,0.89489,0.000297125,0.000297125,0.000297125
79,5854.79,1.5116,0.96439,0.87647,0.45439,0.33912,0.31454,0.1722,1.51292,1.03896,0.89117,0.00028475,0.00028475,0.00028475
80,5931.87,1.49752,0.95406,0.87728,0.48109,0.32921,0.31804,0.17359,1.51371,1.03164,0.89242,0.000272375,0.000272375,0.000272375
81,6005.79,1.51183,0.95294,0.87528,0.45685,0.34413,0.31629,0.17298,1.50808,1.03899,0.89223,0.00026,0.00026,0.00026
82,6079.02,1.49543,0.95575,0.8746,0.46642,0.33453,0.31307,0.17116,1.51701,1.03967,0.89302,0.000247625,0.000247625,0.000247625
83,6152.9,1.52642,0.96528,0.87682,0.46756,0.33167,0.31895,0.174,1.51335,1.03078,0.89247,0.00023525,0.00023525,0.00023525
84,6228.77,1.48406,0.93694,0.87553,0.44776,0.33819,0.31339,0.17092,1.52595,1.04236,0.89339,0.000222875,0.000222875,0.000222875
85,6307.08,1.48514,0.94465,0.87572,0.4847,0.33684,0.32162,0.17558,1.51465,1.03041,0.89281,0.0002105,0.0002105,0.0002105
